State,make,model,index
DE,BMW,7-SERIES,0
FL,BMW,7-SERIES,6.24
GA,BMW,7-SERIES,0
HI,BMW,7-SERIES,0
IA,BMW,7-SERIES,0
ID,BMW,7-SERIES,0
IL,BMW,7-SERIES,0
IN,BMW,7-SERIES,0
KS,BMW,7-SERIES,0
KY,BMW,7-SERIES,0
LA,BMW,7-SERIES,0
MA,BMW,7-SERIES,0
MD,BMW,7-SERIES,0
ME,BMW,7-SERIES,0
MI,BMW,7-SERIES,0
MN,BMW,7-SERIES,0
MO,BMW,7-SERIES,0
MS,BMW,7-SERIES,0
MT,BMW,7-SERIES,0
NC,BMW,7-SERIES,0
ND,BMW,7-SERIES,0
NE,BMW,7-SERIES,0
NH,BMW,7-SERIES,8.63
NJ,BMW,7-SERIES,0
NM,BMW,7-SERIES,6.02
NV,BMW,7-SERIES,0
NY,BMW,7-SERIES,0
OH,BMW,7-SERIES,0
OK,BMW,7-SERIES,0
OR,BMW,7-SERIES,0
PA,BMW,7-SERIES,0
RI,BMW,7-SERIES,0
SC,BMW,7-SERIES,0
SD,BMW,7-SERIES,0
TN,BMW,7-SERIES,0
TX,BMW,7-SERIES,0
UT,BMW,7-SERIES,0
VA,BMW,7-SERIES,0
VT,BMW,7-SERIES,0
WA,BMW,7-SERIES,0
WI,BMW,7-SERIES,0
WV,BMW,7-SERIES,0
WY,BMW,7-SERIES,0
AK,PORSCHE,911-SERIES,0
AL,PORSCHE,911-SERIES,0
AR,PORSCHE,911-SERIES,0
AZ,PORSCHE,911-SERIES,0
CA,PORSCHE,911-SERIES,1.31
CO,PORSCHE,911-SERIES,0
CT,PORSCHE,911-SERIES,0
DC,PORSCHE,911-SERIES,0
DE,PORSCHE,911-SERIES,0
FL,PORSCHE,911-SERIES,0
GA,PORSCHE,911-SERIES,0
HI,PORSCHE,911-SERIES,0
IA,PORSCHE,911-SERIES,0
ID,PORSCHE,911-SERIES,0
IL,PORSCHE,911-SERIES,0
IN,PORSCHE,911-SERIES,0
KS,PORSCHE,911-SERIES,0
KY,PORSCHE,911-SERIES,0
LA,PORSCHE,911-SERIES,0
MA,PORSCHE,911-SERIES,0
MD,PORSCHE,911-SERIES,0
ME,PORSCHE,911-SERIES,0
MI,PORSCHE,911-SERIES,0
MN,PORSCHE,911-SERIES,0
MO,PORSCHE,911-SERIES,0
MS,PORSCHE,911-SERIES,0
MT,PORSCHE,911-SERIES,0
NC,PORSCHE,911-SERIES,0
ND,PORSCHE,911-SERIES,0
NE,PORSCHE,911-SERIES,0
NH,PORSCHE,911-SERIES,0
NJ,PORSCHE,911-SERIES,0
NM,PORSCHE,911-SERIES,0.19
NV,PORSCHE,911-SERIES,0
NY,PORSCHE,911-SERIES,0
OH,PORSCHE,911-SERIES,0
OK,PORSCHE,911-SERIES,0
OR,PORSCHE,911-SERIES,0
PA,PORSCHE,911-SERIES,0
RI,PORSCHE,911-SERIES,0
SC,PORSCHE,911-SERIES,0
SD,PORSCHE,911-SERIES,0
TN,PORSCHE,911-SERIES,0
TX,PORSCHE,911-SERIES,0.61
UT,PORSCHE,911-SERIES,0
VA,PORSCHE,911-SERIES,0
VT,PORSCHE,911-SERIES,0
WA,PORSCHE,911-SERIES,0
WI,PORSCHE,911-SERIES,0
WV,PORSCHE,911-SERIES,0
WY,PORSCHE,911-SERIES,0
AK,PORSCHE,918-SERIES,0
AL,PORSCHE,918-SERIES,0
AR,PORSCHE,918-SERIES,0
AZ,PORSCHE,918-SERIES,0
CA,PORSCHE,918-SERIES,0
CO,PORSCHE,918-SERIES,0
CT,PORSCHE,918-SERIES,0
DC,PORSCHE,918-SERIES,0
DE,PORSCHE,918-SERIES,0
FL,PORSCHE,918-SERIES,0
GA,PORSCHE,918-SERIES,0
HI,PORSCHE,918-SERIES,0
IA,PORSCHE,918-SERIES,0
ID,PORSCHE,918-SERIES,0
IL,PORSCHE,918-SERIES,0
IN,PORSCHE,918-SERIES,0
KS,PORSCHE,918-SERIES,0
KY,PORSCHE,918-SERIES,0
LA,PORSCHE,918-SERIES,0
MA,PORSCHE,918-SERIES,0
MD,PORSCHE,918-SERIES,0
ME,PORSCHE,918-SERIES,0
MI,PORSCHE,918-SERIES,0
MN,PORSCHE,918-SERIES,0
MO,PORSCHE,918-SERIES,0
MS,PORSCHE,918-SERIES,0
MT,PORSCHE,918-SERIES,0
NC,PORSCHE,918-SERIES,0
ND,PORSCHE,918-SERIES,0
NE,PORSCHE,918-SERIES,0
NH,PORSCHE,918-SERIES,0
NJ,PORSCHE,918-SERIES,0
NM,PORSCHE,918-SERIES,0
NV,PORSCHE,918-SERIES,0
NY,PORSCHE,918-SERIES,0
OH,PORSCHE,918-SERIES,0
OK,PORSCHE,918-SERIES,0
OR,PORSCHE,918-SERIES,0
PA,PORSCHE,918-SERIES,0
RI,PORSCHE,918-SERIES,0
SC,PORSCHE,918-SERIES,0
SD,PORSCHE,918-SERIES,0
TN,PORSCHE,918-SERIES,0
TX,PORSCHE,918-SERIES,0
UT,PORSCHE,918-SERIES,0
VA,PORSCHE,918-SERIES,0
VT,PORSCHE,918-SERIES,0
WA,PORSCHE,918-SERIES,0
WI,PORSCHE,918-SERIES,0
WV,PORSCHE,918-SERIES,0
WY,PORSCHE,918-SERIES,0
AK,AUDI,A3,0
AL,AUDI,A3,0
AR,AUDI,A3,0
AZ,AUDI,A3,0
CA,AUDI,A3,4.06
CO,AUDI,A3,0
CT,AUDI,A3,0.85
DC,AUDI,A3,0
DE,AUDI,A3,0
FL,AUDI,A3,0.08
GA,AUDI,A3,0
HI,AUDI,A3,0
IA,AUDI,A3,0
ID,AUDI,A3,8.45
IL,AUDI,A3,0
IN,AUDI,A3,0
KS,AUDI,A3,0
KY,AUDI,A3,0
LA,AUDI,A3,0
MA,AUDI,A3,0
MD,AUDI,A3,0
ME,AUDI,A3,5.53
MI,AUDI,A3,0
MN,AUDI,A3,0
MO,AUDI,A3,0
MS,AUDI,A3,0
MT,AUDI,A3,0
NC,AUDI,A3,0
ND,AUDI,A3,0
NE,AUDI,A3,0
NH,AUDI,A3,3.62
NJ,AUDI,A3,0
NM,AUDI,A3,0.79
NV,AUDI,A3,0
NY,AUDI,A3,0
OH,AUDI,A3,0
OK,AUDI,A3,0
OR,AUDI,A3,0
PA,AUDI,A3,0
RI,AUDI,A3,0
SC,AUDI,A3,0.65
SD,AUDI,A3,0
TN,AUDI,A3,0
TX,AUDI,A3,0
UT,AUDI,A3,0
VA,AUDI,A3,0
VT,AUDI,A3,0
WA,AUDI,A3,0
WI,AUDI,A3,0
WV,AUDI,A3,0
WY,AUDI,A3,0
AK,AUDI,A4,0
AL,AUDI,A4,0
AR,AUDI,A4,0
AZ,AUDI,A4,0
CA,AUDI,A4,3.1
CO,AUDI,A4,0
CT,AUDI,A4,0.65
DC,AUDI,A4,0
DE,AUDI,A4,0
FL,AUDI,A4,0.06
GA,AUDI,A4,0
HI,AUDI,A4,0
IA,AUDI,A4,0
ID,AUDI,A4,6.46
IL,AUDI,A4,0
IN,AUDI,A4,0
KS,AUDI,A4,0
KY,AUDI,A4,0
LA,AUDI,A4,0
MA,AUDI,A4,0
MD,AUDI,A4,0
ME,AUDI,A4,4.23
MI,AUDI,A4,0
MN,AUDI,A4,0
MO,AUDI,A4,0
MS,AUDI,A4,0
MT,AUDI,A4,0
NC,AUDI,A4,0
ND,AUDI,A4,0
NE,AUDI,A4,0
NH,AUDI,A4,2.77
NJ,AUDI,A4,0
NM,AUDI,A4,0.6
NV,AUDI,A4,0
NY,AUDI,A4,0
OH,AUDI,A4,0
OK,AUDI,A4,0
OR,AUDI,A4,0
PA,AUDI,A4,0
RI,AUDI,A4,0
SC,AUDI,A4,0.5
SD,AUDI,A4,0
TN,AUDI,A4,0
TX,AUDI,A4,0
UT,AUDI,A4,0
VA,AUDI,A4,0
VT,AUDI,A4,0
WA,AUDI,A4,0
WI,AUDI,A4,0
WV,AUDI,A4,0
WY,AUDI,A4,0
AK,AUDI,A5,0
AL,AUDI,A5,0
AR,AUDI,A5,0
AZ,AUDI,A5,0
CA,AUDI,A5,0
CO,AUDI,A5,0
CT,AUDI,A5,0
DC,AUDI,A5,0
DE,AUDI,A5,0
FL,AUDI,A5,0
GA,AUDI,A5,0
HI,AUDI,A5,0
IA,AUDI,A5,0
ID,AUDI,A5,0
IL,AUDI,A5,1.17
IN,AUDI,A5,0
KS,AUDI,A5,0
KY,AUDI,A5,0
LA,AUDI,A5,0
MA,AUDI,A5,0
MD,AUDI,A5,0
ME,AUDI,A5,0
MI,AUDI,A5,0
MN,AUDI,A5,0
MO,AUDI,A5,0
MS,AUDI,A5,0
MT,AUDI,A5,0
NC,AUDI,A5,0
ND,AUDI,A5,0
NE,AUDI,A5,0
NH,AUDI,A5,0.81
NJ,AUDI,A5,0
NM,AUDI,A5,0
NV,AUDI,A5,0
NY,AUDI,A5,0
OH,AUDI,A5,0
OK,AUDI,A5,0
OR,AUDI,A5,0
PA,AUDI,A5,0
RI,AUDI,A5,0
SC,AUDI,A5,0
SD,AUDI,A5,0
TN,AUDI,A5,0
TX,AUDI,A5,0
UT,AUDI,A5,0
VA,AUDI,A5,0
VT,AUDI,A5,0
WA,AUDI,A5,0
WI,AUDI,A5,0
WV,AUDI,A5,0
WY,AUDI,A5,0
AK,AUDI,A6,0
AL,AUDI,A6,0
AR,AUDI,A6,0
AZ,AUDI,A6,0
CA,AUDI,A6,1.13
CO,AUDI,A6,0
CT,AUDI,A6,1.12
DC,AUDI,A6,0
DE,AUDI,A6,0
FL,AUDI,A6,1.01
GA,AUDI,A6,0
HI,AUDI,A6,0
IA,AUDI,A6,0
ID,AUDI,A6,1.65
IL,AUDI,A6,0
IN,AUDI,A6,0
KS,AUDI,A6,0
KY,AUDI,A6,0
LA,AUDI,A6,0
MA,AUDI,A6,0
MD,AUDI,A6,0
ME,AUDI,A6,10.6
MI,AUDI,A6,0
MN,AUDI,A6,0
MO,AUDI,A6,0
MS,AUDI,A6,18
MT,AUDI,A6,0
NC,AUDI,A6,0
ND,AUDI,A6,0
NE,AUDI,A6,0
NH,AUDI,A6,4.05
NJ,AUDI,A6,0
NM,AUDI,A6,0.58
NV,AUDI,A6,0
NY,AUDI,A6,0
OH,AUDI,A6,0
OK,AUDI,A6,0
OR,AUDI,A6,0
PA,AUDI,A6,0
RI,AUDI,A6,0
SC,AUDI,A6,5.31
SD,AUDI,A6,0
TN,AUDI,A6,0
TX,AUDI,A6,0
UT,AUDI,A6,0
VA,AUDI,A6,0
VT,AUDI,A6,0
WA,AUDI,A6,0
WI,AUDI,A6,0
WV,AUDI,A6,0
WY,AUDI,A6,0
AK,AUDI,A7,0
AL,AUDI,A7,0
AR,AUDI,A7,0
AZ,AUDI,A7,0
CA,AUDI,A7,2.93
CO,AUDI,A7,0
CT,AUDI,A7,0
DC,AUDI,A7,0
DE,AUDI,A7,0
FL,AUDI,A7,3.25
GA,AUDI,A7,0
HI,AUDI,A7,0
IA,AUDI,A7,0
ID,AUDI,A7,4.27
